,SMS,LABEL,len,url,number,senha
0,BOLETO REFERENTE AS PARCELAS EM ATRASO DO CONSÓRCIO PELO BB.COM VENCIMENTO PARA HOJE Ñ PODE HAVER QUEBRA NO ACORDO. BONATTO ADV 0800 606 3301.,blocked,142,0,1,0
1,050003DA0202|lcloud-apple-lnc.com/?iphone=VtBqROY . ,blocked,52,1,1,0
2,060804CB5F0303|ps: //bancodobrasil.seguranca.gq,blocked,47,1,1,0
3,"Atualizacao ainda nao foi executado em sua conta. Evite bloqueios, atualize agora! Acesse: www.avisobbsms.com",blocked,109,1,0,0
4,0608042BE40303|ps://bancodobrasil.seguranca.cf/,blocked,47,1,1,0
5,"Apple informa, seu iPhone foi localizado e entregue em uma de nossas lojas. Agende a retirada do seu dispositivo: http://apple-support-inc.com. Apple Inc.",blocked,154,1,0,0
6,Apple Inc. Mobile Apple foi localizado ?s 23:56: https://icloud.com.us-i.bid/?id=167,blocked,84,1,1,0
7,"06080446A50403|rápido e seguro.
Acesse: https://bancodobrasil.seguranca.gq/start",blocked,82,1,1,0
8,"Seu Dispositivo IMEI 3533****4383, Cor BLACK, Modelo 7 256Gb foi localizado Proximo a BANGU Acesse:http://myidd0.com/Check/ e veja a localizacao
",blocked,147,0,1,0
9,"060804C5130303|bloqueio agora.
Acesse: https://bancodobrasil.acessoseguro.gq/",blocked,79,1,1,0
10,Apple Inc. Your lost uuuu has been located today at 13:03 pm. View last location:  http://lcloud-co.com/?iphone=gki7Gvb .,blocked,121,1,1,0
11,"Suporte Apple: Notamos que estar tendo dificuldade com o acesso de agendamento. Favor acessar: http://apple-support-inc.com/?apple=2 .
Apple inc BR.",blocked,149,1,1,0
12, APPLE SUPORTE: Seu iphone 6S PLUS 128GB  no modo perdido foi localizado; acesse no nosso site e visualize   http://iphonelocalizado.br.com/?iphone=_ztdEGM,blocked,155,1,1,0
13, APPLE SUPORTE: Seu iphone 7 32GB BLACK no modo perdido foi localizado; acesse no nosso site e visualize   http://iphonelocalizado.br.com/?iphone=UY1qzo7,blocked,153,1,1,0
14, APPLE SUPORTE: Seu iphone SE 32GB ROSE GOLD no modo perdido foi localizado; acesse no nosso site e visualize   http://iphonelocalizado.br.com/?iphone=6POb9_R,blocked,158,1,1,0
15,"lPhone 6 foi encontrado e entregue em uma loja AppIe.
Faca o login security.ios.com/jddjhs para obter os dados.
Essa mensagem e valida por 2 horas.
Supor (#1/2)",blocked,163,1,1,0
16,"Apple Informa:Seu iPhone 8 Plus 256GB Silver em modo perdido foi localizado.acesse: http://icloud-acess.com/appleid/ e recupere seu dispositivo.Apple inc
",blocked,156,1,1,0
17,"050003480202|p://apple.br.msg117.top/?i=bwqt
Apple Inc.",blocked,56,1,1,0
18,"lPhone 6 foi entregue em uma loja AppIe.
Faca o login em https://securityios.me/abcde para medidas adicionais.",blocked,111,1,1,0
19,"lPhone 6 foi entregue em uma loja AppIe.
Faca o login em securityios.me/abcde para medidas adicionais.",blocked,103,1,1,0
20,"Apple Informa:
iPhone de Erika Greaff foi localizado hoje, as 22:32.
Acesse:
www.buscar-idevice.com/icloud
para obter a ultima localizacao do dispositivo.",blocked,158,1,1,0
21,"Find my iPhone : Nova localizacao iPhone 7  modo perdido,acesse: https://appleidsupport.com.br/id-apple   veja a ultima localizacao. Apple Inc",blocked,142,1,1,0
22,https://idsupport-icloud.com/Find/Apple/,blocked,40,1,0,0
23,idsupport-icloud.com/Find/Apple/,blocked,32,1,0,0
24,Security.ios.me,blocked,15,1,0,0
25,050003840202|ll.com/iforgot  para reiniciar sua senha.,blocked,54,1,1,1
26,"Prezado(a) Cliente.
Seu iPhone 7 de Melita vinculado ao numero final 0344 foi localizado, acesse https://securityios.me/dcjgQ para medidas adicionais.
Ap (#1/2)",blocked,162,1,1,0
27,"Seu iPhone 7 de Melita vinculado ao numero final 0344 foi localizado, acesse securityios.me/dcjgQ para medidas adicionais.
Apple Suporte",blocked,137,1,1,0
28,"iPhone SE de Jessyca Horacio, foi entregue em uma loja Apple.
Para sua seguranca acesse securityios.me/4ZUnn para informacoes de retirada do aparelho.",blocked,151,1,1,0
29,"iPhone 6 de Matheus Caldas, foi entregue em uma loja Apple.
Para sua seguranca acesse securityios.me/VYE4I para informacoes de retirada do aparelho.",blocked,149,1,1,0
30, APPLE SUPORTE: Seu iPhone 7 32GB BLACK no modo perdido foi localizado; acesse no nosso site e visualize   http://lcloud-co.com/?iphone=ljk3Szd,blocked,143,1,1,0
31,"Your iOs ID has been blocked, an unknown device has just logged into iCloud, verify identity: https://apple.com.us-i.bid/?id=200",blocked,128,1,1,0
32,"iPhone 6S Plus foi localizado hoje as 18:48 PM, a localizacao do seu iPhone estara disponivel por 24h.  Acesse :https://buscar-iphone.info/mapa/IQZyt",blocked,149,0,1,0
33,"Edmir, APPLE SOPORTE: Seu iphone no modo perdido foi localizado; acesse no nosso site e visualize   http://lcloud-i-support.com/?iphone=2ZKpHaI",blocked,143,1,1,0
34,"Apple Informa:Seu iPhone 7 32GB GOLD em modo perdido foi localizado.acesse http://myidd0.com/Check/ e recupere seu dispositivo.
",blocked,130,1,1,0
35,"Banco do Brasil: Cliente
regularize seu dispositivo
celular e evite o bloqueio
de suas senhas em
https://mobibbseguranca.gq/
ou procure sua agencia.",blocked,158,1,0,1
36,Seu aparelho perdido foi localizado e esta online. Acesse 1modobuscar.com/localizar e veja no mapa o local.,blocked,107,1,1,0
37,B.B Informa: Evite o bloqueio da sua conta atualize agora. Acesse: dadosagora.com,blocked,81,1,0,0
38,AppIe Inc. iPhone foi localizado hoje em 07:47 AM. Ultima posicao disponivel em: https://icloud.com.us-i.bid/?id=218,blocked,116,1,1,0
39,"Apple Inc.
Your lost iPhone 6 16Gb Gold has been found at 06:10. Sign in to locate your device:
http://icloud-id-login.com/?id=15470
",blocked,139,1,1,0
40,https://icloud.com-update.help/?auth=269,blocked,40,1,1,0
41,"iPhone 6s, foi entregue em uma loja Apple.
Para sua seguranca acesse securityios.me/41XUg para informacoes de retirada do aparelho.",blocked,132,1,1,0
42,"lPhone 8 ha sido encontrado a las 06:17 pm on December 29, 2017 en Barcelona. Ver la ultima ubicacion en https://lcloud.id/LC Soporte-AppIe",blocked,139,1,1,0
43,"Apple Informa:
iPhone de Alice foi localizado hoje, as 22:07.
Acesse:
www.buscar-idevice.com/icloud
para obter a ultima localizacao do dispositivo.",blocked,151,1,1,0
44,"Seu Dispositivo IMEI 3533****4383, Cor CINZA, Modelo 6s 64Gb foi localizado Proximo a BANGU Acesse http://myidd0.com/Check/e veja a localizacao
",blocked,146,1,1,0
45, Apple Inc. Seu iphone no modo perdido foi localizado; acesse no nosso site e visualize   http://lcloud-forgot.com/?iphone=QWv1V6j,blocked,130,1,1,0
46,"0500031B0201|lPhone 7 Plus 128GB Apple ID c*****u*****.br ha sido encontrado en Barcelona 08:50 pm on January 1, 2018 . Ver ultima ubicacion en https://lcloud.id/hO A",blocked,166,1,1,0
47,050003AA0202|ud.id/hO Apple support,blocked,35,1,1,0
48,050003DC0202|loud.id/kb Apple support,blocked,37,1,1,0
49,"Your iOs ID has been blocked, an unknown device has just logged into iCloud, verify identity: https://apple.com.us-i.bid/?id=200",blocked,128,1,1,0
50,"Support Apple. Se requiere verifique  su  ID de Apple, visite el siguiente enlace para mas detalles:  http://icloudfind-support.com/HNTW9sG . ",blocked,142,1,1,0
