,SMS,LABEL,len,url,number,senha
0,"['boleto', 'referente', 'parcelas', 'atraso', 'consórcio', 'bbcom', 'vencimento', 'hoje', 'ñ', 'pode', 'haver', 'quebra', 'acordo', 'bonatto', 'adv', '0800', '606', '3301']",blocked,142,0,1,0
1,['050003da0202lcloudapplelnccomiphonevtbqroy'],blocked,52,1,1,0
2,"['060804cb5f0303ps', 'bancodobrasilsegurancagq']",blocked,47,1,1,0
3,"['atualizacao', 'ainda', 'nao', 'executado', 'conta', 'evite', 'bloqueios', 'atualize', 'agora', 'acesse', 'wwwavisobbsmscom']",blocked,109,1,0,0
4,['0608042be40303psbancodobrasilsegurancacf'],blocked,47,1,1,0
5,"['apple', 'informa', 'iphone', 'localizado', 'entregue', 'lojas', 'agende', 'retirada', 'dispositivo', 'httpapplesupportinccom', 'apple', 'inc']",blocked,154,1,0,0
6,"['apple', 'inc', 'mobile', 'apple', 'localizado', 's', '2356', 'httpsicloudcomusibidid167']",blocked,84,1,1,0
7,"['06080446a50403rápido', 'seguro', 'acesse', 'httpsbancodobrasilsegurancagqstart']",blocked,82,1,1,0
8,"['dispositivo', 'imei', '35334383', 'cor', 'black', 'modelo', '7', '256gb', 'localizado', 'proximo', 'bangu', 'acessehttpmyidd0comcheck', 'veja', 'localizacao']",blocked,147,0,1,0
9,"['060804c5130303bloqueio', 'agora', 'acesse', 'httpsbancodobrasilacessosegurogq']",blocked,79,1,1,0
10,"['apple', 'inc', 'your', 'lost', 'uuuu', 'has', 'been', 'located', 'today', 'at', '1303', 'pm', 'view', 'last', 'location', 'httplcloudcocomiphonegki7gvb']",blocked,121,1,1,0
11,"['suporte', 'apple', 'notamos', 'estar', 'tendo', 'dificuldade', 'acesso', 'agendamento', 'favor', 'acessar', 'httpapplesupportinccomapple2', 'apple', 'inc', 'br']",blocked,149,1,1,0
12,"['apple', 'suporte', 'iphone', '6s', 'plus', '128gb', 'modo', 'perdido', 'localizado', 'acesse', 'site', 'visualize', 'httpiphonelocalizadobrcomiphoneztdegm']",blocked,155,1,1,0
13,"['apple', 'suporte', 'iphone', '7', '32gb', 'black', 'modo', 'perdido', 'localizado', 'acesse', 'site', 'visualize', 'httpiphonelocalizadobrcomiphoneuy1qzo7']",blocked,153,1,1,0
14,"['apple', 'suporte', 'iphone', '32gb', 'rose', 'gold', 'modo', 'perdido', 'localizado', 'acesse', 'site', 'visualize', 'httpiphonelocalizadobrcomiphone6pob9r']",blocked,158,1,1,0
15,"['lphone', '6', 'encontrado', 'entregue', 'loja', 'appie', 'faca', 'login', 'securityioscomjddjhs', 'obter', 'dados', 'mensagem', 'valida', '2', 'horas', 'supor', '12']",blocked,163,1,1,0
